complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_category,resolution_status,bank_response_timestamp,resolution_sla_days,is_sla_violation,severity,channel
CBK0000001,TXN00000797,USR85565,MCH8779,,2026-02-03 00:00:00,1020.66,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,LOW,EMAIL
CBK0000002,TXN00016351,USR35605,MCH8953,2026-03-24 13:14:10,,0.24,FRAUD_OR_ATO,CLOSED,,,False,HIGH,IVR
CBK0000003,TXN00013293,USR91078,MCH6993,,,1290.78,AMOUNT_MISMATCH,REJECTED,,,False,HIGH,IVR
CBK0000004,TXN00008092,USR65030,MCH5264,,,2596.26,FRAUD_OR_ATO,RESOLVED,,,False,MEDIUM,CALL CENTER
CBK0000005,TXN00018300,USR55340,MCH6657,,,3125.63,FRAUD_OR_ATO,IN_PROGRESS,,,False,LOW,BRANCH
CBK0000006,TXN00007711,USR96033,MCH8372,2026-02-06 00:00:00,,842.88,AMOUNT_MISMATCH,IN_PROGRESS,,,False,HIGH,CALL CENTER
CBK0000007,TXN00017412,USR26201,MCH8154,,2026-02-17 00:00:00,0.15,MERCHANT_OR_DELIVERY_ISSUE,OPEN,,,False,LOW,APP
CBK0000008,TXN00010497,USR15241,MCH2822,,2026-02-15 00:00:00,1549.8,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,CHATBOT
CBK0000009,TXN00007204,USR51727,MCH4175,2026-03-15 00:00:00,,4713.91,FRAUD_OR_ATO,REJECTED,,,False,HIGH,BRANCH
CBK0000010,TXN00006640,USR52772,MCH3725,,,,FRAUD_OR_ATO,CLOSED,,,False,LOW,APP
CBK0000011,TXN00006805,USR14951,MCH5380,2026-02-20 00:00:00,,1087.14,AMOUNT_MISMATCH,CLOSED,,,False,MEDIUM,IVR
CBK0000012,TXN00013740,USR35501,MCH8913,,2026-01-28 19:43:23,650.92,GENERAL_DISPUTE,IN_PROGRESS,,,False,MEDIUM,CHATBOT
CBK0000013,TXN00019943,USR42818,MCH6838,2026-01-02 14:58:54,,728.13,GENERAL_DISPUTE,IN_PROGRESS,,,False,LOW,APP
CBK0000014,TXN00006433,USR59260,MCH7254,,,468.43,GENERAL_DISPUTE,RESOLVED,,,False,HIGH,BRANCH
CBK0000015,TXN00003408,USR88037,MCH7845,,,895.1,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,2026-04-01 14:30:26,,False,MEDIUM,IVR
