txn_id,user_id,merchant_id,transaction_amount,transaction_status,utr_number,is_missing_utr,timestamp,has_valid_timestamp
TXN00000001,USR43260,MCH1719,9369.76,SUCCESS,UTR5360711691,False,2026-03-04 01:58:20,True
TXN00000002,USR75902,MCH5719,23768.35,SUCCESS,UTR9007062460,False,2026-01-11 19:25:12,True
TXN00000003,USR11703,MCH1469,18302.53,SUCCESS,UTR4382085366,False,2026-01-03 10:16:45,True
TXN00000004,USR89531,MCH3842,14970.48,SUCCESS,UTR7411899286,False,2026-03-13 23:56:16,True
TXN00000005,USR45786,MCH3980,,SUCCESS,UTR7039426717,False,2026-01-27 16:51:53,True
TXN00000006,USR14394,MCH5295,3908.3,SUCCESS,UTR1872160779,False,2026-01-24 18:38:21,True
TXN00000007,USR94832,MCH1209,1461.51,PENDING,UTR0204517086,False,2026-01-22 16:07:07,True
TXN00000008,USR46038,MCH7856,21655.74,SUCCESS,UTR8814504193,False,2026-01-14 13:08:48,True
TXN00000009,USR94105,MCH6875,,SUCCESS,UTR2805319196,False,2026-03-13 12:06:08,True
TXN00000010,USR72748,MCH5922,17704.73,SUCCESS,UTR8575386415,False,,False
TXN00000011,USR62205,MCH8816,524.41,SUCCESS,UTR9178037016,False,2026-03-07 16:49:26,True
TXN00000012,USR15756,MCH5317,24248.05,SUCCESS,UTR3335342235,False,,False
TXN00000013,USR43166,MCH8391,20812.74,SUCCESS,UTR4731316528,False,2026-03-28 14:55:44,True
TXN00000014,USR45936,MCH7539,5316.35,SUCCESS,UTR6983373291,False,,False
TXN00000015,USR91955,MCH6588,4553.81,SUCCESS,,True,,False
TXN00000016,USR17500,MCH1682,4593.0,UNKNOWN,UTR9481525633,False,2026-02-27 07:56:50,True
TXN00000017,USR84996,MCH1381,7613.0,SUCCESS,UTR6777948378,False,,False
TXN00000018,USR13988,MCH5213,13123.66,PENDING,UTR8596222355,False,2026-01-04 02:03:32,True
TXN00000019,USR71709,MCH2366,10804.0,SUCCESS,UTR5047194289,False,2026-01-03 21:25:57,True
